time,left_1,left_2,left_3,right_1,right_2,right_3,head_1
3.582323282828282572e+03,1.922013825541161458e-01,-1.130668430386409795e-01,-7.383633093480036769e-02,6.462845324585039242e-01,-4.615675940341416039e-01,-5.971590710485364939e-01,1.627980150957312744e-01
3.653969748484848424e+03,2.179084098366056155e-01,-1.290086036550793236e-01,-8.270528325666842706e-02,6.471229005010012969e-01,-4.837439446969635792e-01,-6.052825102411384384e-01,1.727571191956531749e-01
3.725616214141413820e+03,2.456231954132242490e-01,-1.463928437070671773e-01,-9.237052897146140473e-02,6.504013772693065798e-01,-5.047323891676263052e-01,-6.223351340962540723e-01,1.803616745435095425e-01
3.797262679797979672e+03,2.729881684013708010e-01,-1.636154601616088278e-01,-1.022709117693600400e-01,6.561199627634198839e-01,-5.245329274461300040e-01,-6.411127090423526242e-01,1.856116811393004606e-01
3.868909145454545069e+03,2.973056060876138051e-01,-1.788899138436647607e-01,-1.110022414160651560e-01,6.642786569833412091e-01,-5.431455595324742314e-01,-6.598941206207953325e-01,1.885071389830259292e-01
3.940555611111110920e+03,3.185724952423911183e-01,-1.922149260780532665e-01,-1.184974543735224511e-01,6.748774599290704446e-01,-5.605702854266595425e-01,-6.786793688315818640e-01,1.890480480746858927e-01
4.012202076767676772e+03,3.367888358657025738e-01,-2.035904968647742341e-01,-1.247565506417319114e-01,6.879163716006075902e-01,-5.768071051286856044e-01,-6.974684536747124408e-01,1.872454564260794263e-01
4.083848542424242169e+03,3.519546279575481162e-01,-2.130166262038276914e-01,-1.297795302206934398e-01,7.033953919979527569e-01,-5.918560186385524169e-01,-7.162613751501870629e-01,1.832368127500145216e-01
4.155495008080807565e+03,3.640698715179278011e-01,-2.204933140952136106e-01,-1.335663931104071056e-01,7.213145211211058339e-01,-6.057170259562599801e-01,-7.350581332580055083e-01,1.770632488225693246e-01
4.227141473737373417e+03,3.731345665468416839e-01,-2.260205605389319916e-01,-1.361171393108729921e-01,7.416737589700668210e-01,-6.183901270818084051e-01,-7.538587279981682210e-01,1.687247646437436965e-01
4.298787939393939268e+03,3.791487130442897646e-01,-2.295983655349829455e-01,-1.374317688220909606e-01,7.644731055448359403e-01,-6.298753220151975807e-01,-7.726631593706748680e-01,1.582213602135377484e-01
4.370434405050505120e+03,3.821123110102720433e-01,-2.312267290833663613e-01,-1.375102816440610665e-01,7.837927746523537520e-01,-6.401726107564276180e-01,-7.914714273755255602e-01,1.455530355319513691e-01
4.442080870707070062e+03,3.820253604447882978e-01,-2.309056511840822390e-01,-1.363526777767833376e-01,7.880492054233987353e-01,-6.485693767498950102e-01,-8.102835320127199648e-01,1.307197905989848641e-01
4.513727336363635914e+03,3.788878613478388058e-01,-2.286351318371306063e-01,-1.339589572202577183e-01,7.769390300422623907e-01,-6.523714171790432337e-01,-8.290994732822587476e-01,1.137216254146377892e-01
4.585373802020201765e+03,3.726998137194234006e-01,-2.244151710425114354e-01,-1.303291199744842366e-01,7.504622485089446071e-01,-6.513187741869550518e-01,-8.425794774041152069e-01,9.455853997891036644e-02
4.657020267676767617e+03,3.637848788064509398e-01,-2.184627956206528221e-01,-1.256400795359919609e-01,7.086188608234458286e-01,-6.454114477736301314e-01,-8.411118620740293261e-01,7.323053429180259588e-02
4.728666733333333468e+03,3.536604713057409644e-01,-2.117821356633273200e-01,-1.207561271236718969e-01,6.514088669857655001e-01,-6.346494379390685836e-01,-8.245020430503486875e-01,4.973760835331442892e-02
4.800313198989898410e+03,3.425198755617519519e-01,-2.044990934519419767e-01,-1.157927899087358575e-01,5.788322669959049538e-01,-6.190327446832702973e-01,-7.927500203330737349e-01,2.407976216344626108e-02
4.871959664646464262e+03,3.303630915744838470e-01,-1.966136689864965981e-01,-1.107500678911836900e-01,4.908890608538622469e-01,-5.985613680062352726e-01,-7.458557939222035804e-01,-3.743004277802608470e-03
4.943606130303030113e+03,3.171901193439365940e-01,-1.881258622669912950e-01,-1.056279610710155054e-01,3.875792485596380454e-01,-5.732353079079637315e-01,-6.838193638177387790e-01,-3.366152875143769291e-02
