,Unnamed: 0,participant_id,frame_id,timestamp,action,left_arm_human_theta,right_arm_human_theta,head_human_theta,left_arm_human_phi,right_arm_human_phi,head_human_phi,left_arm_robot,right_arm_robot,head_robot
167,167,11,2337,"1,64986444603972E+018",dinner_plate,[1.66152273 2.75150242 1.51594865 1.51594854],[1.62639281 2.66682956 1.77165228 1.77165213],[0.03687128 0.12998591],[-1.6517574  -2.46987102  3.0559716   3.05597139],[ 1.53822409  2.92306029 -3.06315284 -3.06315288],[2.91871063 0.07333086],[ 1.25292904  0.05515543 -1.34460677 -1.04719755 -0.50470702],[ 1.11749602 -0.19501424  1.43697903  1.35382889  0.72821146],[-0.01805774  0.        ]
168,168,11,2540,"1,64986444608367E+018",knife,,,,,,,,,
169,169,11,2653,"1,64986444610794E+018",initial,[1.64574414 2.92597592 2.9278198  2.92781826],[1.64937168 2.94809711 2.8812073  2.8812065 ],[0.16449063 0.07070221],[-1.62402196 -1.09832176 -2.51582171 -2.51582569],[ 1.53485476  1.30946514 -3.05362066 -3.05362123],[ 2.88734983 -0.3679723 ],[ 1.64533752  0.05515543 -1.49393035 -0.14777034 -1.52201661],[ 1.60366582 -0.13218704  1.70784507  0.24907121  1.09869435],[0.01666868 0.        ]
170,170,11,2803,"1,64986444614052E+018",fork,[1.51770074 2.39101418 0.56566462 0.565665  ],[1.56023993 2.35645641 0.44245323 0.44245277],[0.0873276  0.10532717],[-1.56463963 -1.892328    2.3093536   2.3093548 ],[ 1.547616    2.16833679 -2.13047417 -2.13047212],[ 2.97839467 -2.11877204],[ 0.73550546  0.45670321 -1.26820866 -1.37821148 -1.67689061],[ 0.68688848 -0.51051607  1.29460073  1.4342663   1.27178882],[-0.10140113  0.        ]
171,171,11,3025,"1,64986444618755E+018",salt_shaker_right,,,,,,,,,
172,172,11,3044,"1,64986444619163E+018",salt_shaker_left,,,,,,,,,
173,173,11,3329,"1,64986444625222E+018",sugar_bowl,,,,,,,,,
174,174,11,3519,"1,64986444629229E+018",mixer,,,,,,,,,
175,175,11,3747,"1,64986444634305E+018",pressure_cooker,,,,,,,,,
176,176,9,1023,"1,64986440580953E+018",teacup,[1.5783218  2.27862719 2.09640442 2.09640422],[1.68047056 2.88464942 2.94757275 2.94757285],[0.26604228 0.16004429],[-1.62670045 -1.22087625  2.14698903  2.14698974],[1.36096014 0.92733145 2.77959188 2.77959229],[3.13696682 2.79249468],[ 1.80160639  0.20266277 -1.3962634  -0.53738909  0.        ],[ 1.91986218 -0.52359878  0.83621206  1.51093322  1.49043446],[ 0.04792245 -0.10442625]
177,177,9,1300,"1,64986440660813E+018",teapot,[1.63594928 2.37441368 2.0566514  2.05665158],[1.50003189 1.31100093 0.48921291 0.48921288],[0.16899113 0.23731998],[-1.68702101 -1.23500015  2.18881403  2.18881296],[1.35856525 1.74498728 1.76495009 1.76495006],[-3.0129742   2.89332383],[-1.3962634   1.04719755 -1.10846715 -0.12766098  0.10871547],[ 1.91986218 -0.52359878  1.0237347   1.5285289   0.        ],[-0.01111245  0.00623332]
178,178,9,1481,"1,64986440670803E+018",spoon,[1.54318609 1.35158508 0.57820819 0.57820831],[1.53645385 1.31358599 0.48134424 0.48134401],[0.14840612 0.10196245],[-1.66651166 -2.32870754  2.85459068  2.85459023],[ 1.41254596  2.32105013 -2.87244164 -2.87244117],[ 2.93145318 -3.09684977],[-0.67785961  0.70254878 -0.65007848 -1.04719755 -1.43395101],[-0.66744169 -0.6981317   0.53061961  1.04719755  1.47828748],[0.04444981 0.04970672]
179,179,9,1822,"1,64986440678045E+018",ladle,[1.58857536 2.62371999 1.51731983 1.51731969],[1.57921237 2.5129852  1.53743302 1.53743301],[0.15891948 0.04716952],[-1.73208936 -2.71408332  2.4420602   2.44206067],[ 1.46703554  2.62393551 -2.57243023 -2.5724307 ],[-3.06267620e+00 -3.54572862e-04],[ 1.28418281  0.33241461 -1.04719755 -1.43979638 -0.69905871],[ 1.18000357 -0.1881852   1.04719755  1.29224399  0.64621934],[-0.01458509 -0.03131189]
180,180,9,2027,"1,64986440682338E+018",shallow_plate,[1.59362828 1.65839204 0.98566597 0.98566633],[1.53929731 1.69672832 0.95119807 0.95119868],[0.1257098  0.09219627],[-1.69493144 -2.44138428  2.19467538  2.19467624],[ 1.44750535  2.52724852 -2.41873405 -2.418735  ],[3.08732139 2.92630816],[ 0.17641019  0.52359878 -0.69522282 -1.085369   -1.54934732],[ 0.12084792 -0.52359878  0.6382715   1.01071302  1.59672054],[-0.01111245 -0.01352732]
181,181,9,2299,"1,64986440688064E+018",dinner_plate,[1.59480551 1.93926996 1.46104457 1.46104463],[1.58446241 1.89217065 1.57559912 1.57559905],[0.11918014 0.07573792],[-1.70308324 -2.97723345  2.9167356   2.91673522],[ 1.43399062  2.98295663 -3.13773903 -3.13773899],[-3.12485726  2.3937046 ],[ 0.36046018  0.00188888 -1.3307162  -0.43558548 -1.57079633],[ 0.31878849 -0.0638966   1.04719755  0.46273311  1.36896466],[ 0.10001207 -0.02044354]
182,182,9,2501,"1,64986440692349E+018",knife,,,,,,,,,
183,183,9,2738,"1,64986440697431E+018",initial,[1.75382048 2.64094084 2.90562972 2.90562974],[1.67421763 2.85324096 2.91264437 2.91264349],[0.28481414 0.15166023],[-1.70554427 -1.10327435  2.95821611  2.95821474],[1.38784661 0.84895533 2.82192436 2.8219265 ],[-2.93104169  2.59786297],[ 1.72520827  0.18080983 -1.04719755 -0.37651425 -1.57079633],[ 1.69742714 -0.1881852   1.04719755  0.32448129  1.57079633],[-0.08751056  0.        ]
184,184,9,2761,"1,64986440697923E+018",fork,[1.608965   1.75991845 0.39373048 0.39373036],[1.59907534 1.8044424  0.24588332 0.24588318],[0.1443971  0.20167935],[-1.68586525 -1.68326519  1.99499703  1.99499405],[ 1.33032387  1.53556759 -2.30948065 -2.30947859],[ 3.08029312 -2.23452272],[ 0.35004226  1.19697156 -1.74532925 -1.54461639 -1.78925017],[ 0.31878849 -1.12513002  1.78424318  1.52350157  1.82386907],[0.10348472 0.        ]
185,185,9,3008,"1,64986440703183E+018",salt_shaker_left,,,,,,,,,
186,186,9,3040,"1,6498644070386E+018",salt_shaker_right,,,,,,,,,
187,187,9,3302,"1,64986440709435E+018",sugar_bowl,,,,,,,,,
188,188,9,3786,"1,64986440719859E+018",pressure_cooker,,,,,,,,,
189,189,5,1294,"1,64986432857633E+018",teacup,[1.61663947 2.83163466 2.65075344 2.65075276],[1.52220117 2.33134581 2.54264382 2.54264392],[0.13540747 0.04024147],[-1.61656663 -0.71037405  3.13177474  3.13177519],[1.37119957 1.03170536 3.08910538 3.08910563],[3.12561686 1.57178625],[ 1.78424318  0.37338887 -0.83412848 -1.25001434 -0.76890384],[ 1.63144695 -0.30701056  0.79801301  0.56202304  0.64925609],[0. 0.]
190,190,5,1599,"1,64986432864126E+018",teapot,[1.48664276 1.29802781 0.53794722 0.53794758],[1.5477103  2.35362899 2.25581392 2.25581408],[0.15431326 0.06425546],[-1.57741108 -1.66270862 -1.93956023 -1.93956164],[ 1.32543345  0.90536872 -2.51415959 -2.51415933],[2.77738025 1.4502903 ],[ 1.74604412  0.2682216  -0.85149168 -1.25629852 -0.83874898],[-1.3962634  -0.87266463  1.2668196   0.03490659  0.        ],[ 0.25975358 -0.01846748]
191,191,5,1828,"1,64986432868971E+018",spoon,[1.50852378 1.49092016 0.54448311 0.54448332],[1.58855379 1.82988295 0.32234506 0.32234505],[0.09560745 0.09765344],[-1.56008666 -1.78160838  1.46298685  1.46298605],[ 1.39179024  1.76990916 -1.89585638 -1.89585788],[2.85123784 0.77173801],[-1.24042753  1.31852854  0.         -1.54461639 -1.57079633],[-1.50782092 -1.32645023  0.          1.52978574  1.57079633],[0. 0.]
192,192,5,2165,"1,64986432876199E+018",ladle,[1.60106752 2.73520998 1.93604844 1.93604864],[1.60696163 2.76507883 2.07854596 2.07854588],[0.11388167 0.05107647],[-1.51807122 -0.9112393   2.62092531  2.62092484],[ 1.3633725   1.08985974 -2.78681545 -2.78681529],[3.09981838 2.00690854],[ 1.79813374  0.37065725 -1.04719755 -1.20728196 -1.54327383],[ 1.74951676 -0.27149954  1.04719755  1.0823526   1.33556047],[ 0.03403189 -0.00759913]
193,193,5,2390,"1,64986432881035E+018",shallow_plate,[1.58851836 2.48706041 0.64996713 0.64996736],[1.62219172 2.51912132 0.67827991 0.67828009],[0.05635861 0.10853951],[-1.56680563 -2.21481271  2.65002919  2.65002968],[ 1.46872542  2.48322118 -2.96984334 -2.96984306],[-3.12697063  0.49031977],[ 1.07235168  0.17807822 -1.53907469 -1.54285682 -1.21530536],[ 1.0827696  -0.35481387  1.53421299  1.53355624  1.23534788],[0.00625075 0.        ]
194,194,5,2676,"1,64986432887087E+018",dinner_plate,[1.631182   2.68159842 1.34091704 1.34091694],[1.6405369  2.77269498 1.47046495 1.47046492],[0.06542982 0.0419975 ],[-1.5336064  -1.81436827 -3.08211967 -3.08211969],[1.38132718 2.02898702 3.00406138 3.00406135],[-3.11727353  0.63861536],[ 1.33627243  0.52359878 -1.78910488 -1.33296543 -1.57079633],[ 1.39183469 -0.52359878  1.7356262   1.54461639  1.57079633],[0. 0.]
195,195,5,2914,"1,64986432892202E+018",knife,,,,,,,,,
196,196,5,3197,"1,64986432898265E+018",fork,[1.47201736 1.9227067  0.75149481 0.75149478],[1.5011485  1.86549573 0.63578506 0.63578497],[0.06010114 0.10554962],[-1.57189472 -2.29514648  1.43412502  1.43412359],[ 1.50404414  2.34933993 -1.37749802 -1.37749942],[2.79390612 2.92558836],[ 0.34656962  0.71620687 -1.08068602 -1.54461639 -0.64743404],[ 0.14515641 -0.65665761  0.90913753  1.54461639  1.57079633],[0.66952527 0.        ]
197,197,5,3439,"1,64986432903398E+018",initial,[1.62281028 2.84944498 2.66881697 2.66881735],[1.62314156 2.91481714 2.71634344 2.7163438 ],[0.14153785 0.09105293],[-1.50892106 -0.76797151 -2.99710149 -2.99710166],[1.45151912 0.83940006 3.06984089 3.06984113],[3.09827169 0.44061149],[ 1.73215356  0.28324549 -1.04719755 -0.66307255 -1.57079633],[ 1.74257148 -0.19228263  1.72173563  0.50043815  1.60583077],[ 0.04444981 -0.01747945]
198,198,5,3463,"1,64986432903907E+018",salt_shaker_left,,,,,,,,,
199,199,5,3482,"1,64986432904318E+018",salt_shaker_right,,,,,,,,,
200,200,5,3747,"1,64986432909942E+018",sugar_bowl,,,,,,,,,
201,201,5,4008,"1,6498643291552E+018",mixer,,,,,,,,,
202,202,5,4252,"1,64986432920754E+018",pressure_cooker,,,,,,,,,
203,203,1,1143,"1,64986428269628E+018",initial,[1.6152707  2.86932557 2.73362198 2.73362172],[1.6178181  2.94881098 2.75190771 2.751907  ],[0.1608384  0.23230159],[-1.5825635  -0.70531932 -2.83336812 -2.83336849],[ 1.42508917  1.16833411 -3.08576701 -3.08576721],[3.12840011 3.08571805],[ 1.6939545   0.10569035 -1.02165112 -0.46700634 -1.57079633],[ 1.70784507 -0.05706756  1.72520827  0.43759641  1.57079633],[-0.0319483 -0.0500845]
204,204,1,1172,"1,64986428276483E+018",teacup,[1.53970914 2.49589906 2.21674976 2.21674942],[1.60289038 2.94794464 2.73939056 2.73939028],[0.16050331 0.23837722],[-1.50035069 -1.32025062  2.5338677   2.53386826],[ 1.44381379  1.16973209 -3.03391429 -3.03391395],[3.11407406 3.05896505],[ 1.64533752  0.22314991 -1.38627847 -0.34906585  0.        ],[ 1.91986218 -0.52359878  1.12096866  1.53588974 -0.00668084],[-0.01805774  0.        ]
205,205,1,1437,"1,64986428342957E+018",teapot,[1.53685752 2.49957843 2.34820703 2.34820737],[1.60845637 1.82121535 0.80894503 0.80894482],[0.20640767 0.19616244],[-1.47711628 -1.2033201   2.56219671  2.56219613],[1.5137845  1.55748514 2.00109549 2.00109565],[2.91817253 2.98441598],[-0.73689452  1.26116457 -0.87266463 -1.03383878 -1.53112685],[ 1.91986218 -0.52359878  0.94039131  1.2457411   1.2839358 ],[ 0.02014132 -0.01649141]
206,206,1,1641,"1,64986428396101E+018",spoon,[1.52730976 1.74215844 0.42546415 0.42546414],[1.64804958 1.71785766 0.2981305  0.29813087],[0.16237406 0.22459765],[-1.49798003 -1.42001112 -2.83977602 -2.83977617],[1.42431208 1.60054992 2.72948897 2.72949017],[ 2.77509814 -3.12605305],[-1.38627847  1.26389619  0.06528566 -1.23493233 -0.2465837 ],[-1.18139262 -1.3095142   0.07917623  1.23442959  1.57546332],[0.03403189 0.        ]
207,207,1,1979,"1,64986428491643E+018",ladle,[1.61570104 2.70611325 2.11979403 2.11979338],[1.63106075 2.68931284 2.15034845 2.15034834],[0.18034731 0.19899228],[-1.45052995 -1.0428823   2.92609888  2.92609902],[ 1.44045963  1.08441132 -3.00204401 -3.0020441 ],[3.08085591 3.0855325 ],[ 1.7946611   0.35836497 -1.03206904 -1.02629777 -1.35195889],[ 1.80855167 -0.33705836  1.04719755  1.16153318  1.57079633],[-0.01805774 -0.03328796]
208,208,1,2182,"1,6498642854803E+018",shallow_plate,[1.6153084  2.37423048 1.02759474 1.02759428],[1.65018175 2.27183564 0.98394283 0.98394335],[0.13452881 0.14090267],[-1.50419279 -1.44337444 -3.13095574 -3.13095565],[1.40664685 1.68534842 3.11319108 3.1131905 ],[3.02646607 3.08120486],[ 1.6349196   0.67933004 -2.08566846 -1.49635394 -1.57079633],[ 1.65922809 -0.50232122  1.96134789  1.54461639  1.57079633],[0. 0.]
209,209,1,2472,"1,6498642861789E+018",dinner_plate,[1.64793268 2.71195869 1.34987271 1.34987262],[1.69209457 2.75724101 1.36185437 1.36185421],[0.12741458 0.12746666],[-1.51871523 -1.86567628 -3.05541335 -3.05541314],[1.48531302 2.31191836 3.0305908  3.03059051],[3.08772125 2.8365059 ],[ 1.35710828  0.36109659 -1.7578511  -1.5240043  -1.57079633],[ 1.47170545 -0.31793703  1.67659129  1.54461639  1.57079633],[-0.05278415 -0.01846748]
210,210,1,2675,"1,64986428663898E+018",knife,,,,,,,,,
211,211,1,2987,"1,64986428742346E+018",fork,[1.54125813 1.73033817 0.75870781 0.75870782],[1.56315256 1.87933272 0.53705625 0.53705606],[0.11946912 0.07140629],[-1.56140768 -2.08608792  1.92944211  1.92944166],[ 1.46899371  2.27098899 -1.86861982 -1.8686196 ],[2.73368434 0.7891241 ],[ 0.45769414  0.98663701 -1.40016903 -1.54461639 -1.57079633],[ 0.0270866  -1.05410796  1.03415262  1.52350157  1.57079633],[0.03403189 0.        ]
212,212,1,3243,"1,64986428800188E+018",salt_shaker_left,,,,,,,,,
213,213,1,3257,"1,64986428803155E+018",salt_shaker_right,,,,,,,,,
214,214,1,3494,"1,64986428857099E+018",sugar_bowl,,,,,,,,,
215,215,1,3710,"1,64986428911659E+018",mixer,,,,,,,,,
216,216,1,3987,"1,64986428999468E+018",pressure_cooker,,,,,,,,,
217,217,8,1251,"1,64986439626172E+018",initial,[1.56097586 2.73688444 2.88292702 2.88292638],[1.61156054 2.89960323 2.95962287 2.95962308],[0.31958567 0.15020995],[-1.56969781 -0.59524929 -2.52001814 -2.52002069],[ 1.67072915  1.15975273 -2.23033987 -2.23034002],[ 2.98588236 -2.65635265],[ 1.66270073  0.06881351 -0.58757093 -0.40667828 -1.57079633],[ 1.76687997 -0.16496645  1.04719755  0.14601077  1.23838463],[-0.01805774  0.        ]
218,218,8,1451,"1,64986439629636E+018",teacup,[1.45527272 2.47749322 2.2797681  2.27976767],[1.61514489 2.90779306 2.95576644 2.95576659],[0.31141114 0.05266347],[-1.50528531 -1.09114591  2.33859     2.33859089],[ 1.64873029  1.02005547 -2.13080309 -2.13080116],[ 2.97503466 -0.87032136],[ 1.65922809  0.23953961 -1.67450771 -0.31995669  0.12086245],[ 1.75298941 -0.23598851  1.00289885  1.26459362  0.90434267],[0. 0.]
219,219,8,1616,"1,6498643963262E+018",teapot,[1.46161676 2.47020856 2.14768224 2.14768204],[1.48111291 1.60115775 1.09884956 1.09884913],[0.28165651 0.17195348],[-1.53076949 -0.99614098  2.34449242  2.34449262],[1.53632033 1.65295444 2.08319495 2.08319543],[-3.10424891 -1.8412632 ],[-0.74731244  1.04719755 -1.90717469 -0.22569409 -0.27087766],[ 1.91986218 -0.52359878  0.70772433  1.49836487  0.06620104],[0.02361396 0.        ]
220,220,8,1848,"1,64986439636616E+018",spoon,[1.5466209  1.9200792  0.48562267 0.48562235],[1.55665273 1.94592454 0.51701542 0.51701598],[0.2782738  0.04970431],[-1.49187429 -1.7196447   2.25836484  2.25836438],[ 1.62571818  1.75360641 -2.46909029 -2.4690903 ],[-3.07747438 -0.95852082],[-1.19875583  1.11229142  0.         -1.47624458 -0.05223201],[-1.23695489 -1.17293333  0.01666868  1.43175263  0.20589131],[ 0.04792245 -0.06786907]
221,221,8,2174,"1,64986439642329E+018",ladle,[1.54377585 2.72111901 2.09510027 2.09510031],[1.57109151 2.72624888 2.09678623 2.09678615],[0.26405247 0.05352701],[-1.49765105 -0.67572263  2.60243414  2.60243407],[ 1.60439055  0.70794798 -2.36218558 -2.36218591],[-3.13479959 -0.48777193],[ 1.83980544  0.48538519 -0.42782943 -1.35056112 -1.6222292 ],[ 1.81549695 -0.47363923  0.11043     1.09492094  1.57242658],[ 0.01319604 -0.04810843]
222,222,8,2746,"1,64986439654189E+018",dinner_plate,[1.5156922  2.40151646 1.57508546 1.57508545],[1.51592969 2.6334298  1.45987378 1.45987373],[0.22663013 0.17586917],[-1.57063031 -2.86106094  2.85003549  2.85003561],[ 1.6799426   2.95302156 -2.91381214 -2.91381193],[-3.03125132 -0.11623574],[ 1.08624225  0.0974955  -1.15361149 -1.31914025 -1.57079633],[ 0.89871961 -0.11989476  1.03762527  1.07481159  1.53598564],[-0.01805774  0.01117348]
223,223,8,2952,"1,64986439670439E+018",knife,,,,,,,,,
224,224,8,3233,"1,64986439675466E+018",fork,[1.53101328 1.9739243  0.61303651 0.61303629],[1.56054467 2.04269666 0.5096144  0.50961465],[0.23772173 0.14774601],[-1.49373163 -2.13500506  1.8209007   1.82090144],[ 1.60738249  2.26511579 -1.80143679 -1.80143835],[-3.1077372  -2.54723497],[ 0.40560452  0.34906585 -0.83412848 -1.54461639  0.17552386],[ 0.40907716 -0.34906585  1.04109791  1.54461639  0.63103562],[-0.13960019 -0.05897679]
225,225,8,3261,"1,6498643967595E+018",shallow_plate,[1.53014804 2.75631197 1.98240369 1.98240398],[1.54192446 2.85120952 2.08413029 2.08413027],[0.2285413  0.02811128],[-1.54521286 -2.27959637 -3.09874171 -3.09874155],[ 1.68806087  2.67211607 -3.11111511 -3.11111548],[ 3.12850253 -1.58542134],[ 1.48352986  0.1753466  -1.46267658 -1.04719755 -1.30337097],[ 1.48352986 -0.16086903  1.49601394  1.04719755  0.81931381],[-0.02847566 -0.00858716]
226,226,8,3491,"1,6498643967996E+018",salt_shaker_left,,,,,,,,,
227,227,8,3507,"1,64986439680235E+018",salt_shaker_right,,,,,,,,,
228,228,8,3799,"1,6498643968545E+018",sugar_bowl,,,,,,,,,
229,229,8,4075,"1,6498643970121E+018",mixer,,,,,,,,,
230,230,8,4368,"1,64986439720238E+018",pressure_cooker,,,,,,,,,
231,231,3,1300,"1,64986432587914E+018",teacup,[1.55918361 2.94477612 2.48839895 2.4883988 ],[1.59796698 2.77571966 2.91741697 2.91741707],[0.21741904 0.28004628],[-1.58129591 -1.13439052  2.63599666  2.63599665],[1.51912086 1.21909219 2.74783281 2.74783274],[-2.87804352  2.89041836],[ 1.70784507  0.26139255 -1.3962634  -0.36143223  0.        ],[ 1.75298941 -0.22096461  1.05151583  0.77945544  1.41147909],[-0.07709264  0.02401789]
232,232,3,1366,"1,64986432589354E+018",teapot,[1.66365288 2.98352031 3.14159265 3.14159265],[1.44970822 1.71985588 1.09775261 1.09775283],[0.22735695 0.38003832],[-1.49685185 -1.68992461  0.          0.        ],[1.58667548 1.72161832 2.05042871 2.05042965],[-2.51601443 -2.85423335],[-0.29934169  1.32645023 -0.87266463 -0.59520348  0.05405406],[ 1.57935733 -0.20867233  1.57079633  0.03490659 -0.09474645],[0. 0.]
233,233,3,1527,"1,64986432592866E+018",spoon,[1.6366282  1.88051144 1.12517155 1.1251713 ],[1.55145127 2.59088681 1.23098095 1.23098096],[0.19096105 0.09951638],[-1.56850844 -2.46735582  2.32396842  2.32396839],[ 1.57465057  2.09406477 -3.09885204 -3.09885204],[-2.65537176  2.69629529],[ 1.27029224  0.39660762 -1.36891526 -1.4259712  -0.65654428],[ 0.4958932  -0.65938923  0.87093848  1.50716271  1.68478615],[0. 0.]
234,234,3,1880,"1,64986432600555E+018",ladle,[1.63006    2.76900383 2.10386316 2.10386309],[1.55281392 2.67376241 2.06350511 2.06350525],[0.20145377 0.13074031],[-1.51617895 -2.89203867  2.82988786  2.82988813],[ 1.57695608  1.72353843 -2.46821004 -2.46820999],[-2.73060627 -2.44344657],[ 1.50643186  0.47992195 -0.81676527 -1.04719755 -1.57079633],[ 1.31543658 -0.2660363   0.33615169  0.61355327  1.57079633],[-0.01805774 -0.01056322]
235,235,3,2072,"1,6498643260473E+018",shallow_plate,[1.61916124 2.33131386 1.17391185 1.17391152],[1.57491321 2.66483245 1.57674716 1.576747  ],[0.21339199 0.16887741],[-1.55626639 -2.02865146  3.02780112  3.02780084],[ 1.62037336  1.76384176 -3.07239213 -3.07239223],[-2.81953619 -2.99633492],[ 1.48352986  0.29553777 -1.48698507 -1.38198198 -0.21621625],[ 1.24251111 -0.71948481  1.7356262   1.50213538  1.54509587],[-0.05278415 -0.00858716]
236,236,3,2426,"1,64986432612509E+018",dinner_plate,[1.6687086  2.21499066 1.00654258 1.00654238],[1.59171598 2.67716399 1.5351732  1.53517318],[0.17805168 0.06349018],[-1.55728829 -2.43320831  2.59591721  2.59591694],[1.59774843 1.87548211 3.03708355 3.03708349],[-2.86179573  2.87779389],[ 1.48352986  0.27095321 -1.52865677 -1.54461639 -1.57079633],[ 0.86052055 -0.45042049  1.04719755  1.4342663   1.57079633],[ 0.13126585 -0.02340764]
237,237,3,2667,"1,64986432617704E+018",knife,,,,,,,,,
238,238,3,2903,"1,64986432622793E+018",fork,[1.59893585 1.70380906 0.98156623 0.98156598],[1.57088221 2.45601262 0.72353011 0.72353026],[0.18151502 0.17575217],[-1.53666199 -2.58961942  1.99821275  1.99821318],[ 1.48992147  2.34926857 -2.68658891 -2.68658942],[-2.8908672  2.8425111],[ 0.79454036  0.27505064 -1.38280583 -1.54461639 -1.57079633],[ 0.94733659 -1.2781006   1.75993469  1.51847423  1.57079633],[-0.06320207  0.        ]
239,239,3,3109,"1,64986432627307E+018",salt_shaker_right,,,,,,,,,
240,240,3,3122,"1,64986432627594E+018",salt_shaker_left,,,,,,,,,
241,241,3,3397,"1,64986432633577E+018",sugar_bowl,,,,,,,,,
242,242,3,3648,"1,64986432639006E+018",mixer,,,,,,,,,
243,243,15,1018,"1,64986446743165E+018",teacup,[1.62657441 2.88694433 2.90060911 2.90060851],[1.6349045  2.66305861 2.65684372 2.6568432 ],[0.25681182 0.32622317],[-1.61000346 -1.06622983 -2.57124048 -2.57124326],[ 1.47856664  1.12781915 -2.61974137 -2.61974214],[3.04031404 2.86508716],[ 1.84675072  0.34906585 -1.3962634  -1.04719755  0.        ],[ 1.67659129 -0.16906388  1.67659129  0.21262301  1.57079633],[0.02014132 0.01018545]
244,244,15,1324,"1,64986446826837E+018",teapot,[1.57016886 1.8910843  0.56152864 0.5615289 ],[1.63703923 2.67370486 2.57342131 2.57342127],[0.23419401 0.21547842],[-1.52542856 -1.59412333 -2.19583818 -2.19584001],[ 1.44118198  1.09746295 -2.717464   -2.71746391],[2.86280072 2.90575986],[ 1.62450167  0.51133556 -0.44866528 -1.31159924 -0.13118739],[-1.10846715 -1.01586532  0.13821113  1.08109576  0.81931381],[ 0.02361396 -0.06292891]
245,245,15,1506,"1,64986446869508E+018",initial,[1.66283049 2.89551728 2.81190312 2.81190281],[1.71030685 2.87022586 2.85194613 2.85194568],[0.25177074 0.25510391],[-1.62398349 -1.10383633 -2.68949317 -2.68949357],[ 1.47310285  0.96393709 -3.0648394  -3.06483938],[3.0010663  2.87676884],[ 1.57588469  0.1903705  -1.96273695 -0.25208762 -0.93288807],[ 1.62797431 -0.08438373  0.76328659  0.26918057  1.57079633],[0. 0.]
246,246,15,1528,"1,6498644687365E+018",spoon,[1.54795029 2.10946289 0.46199621 0.4619958 ],[1.61357063 2.21736248 0.25496222 0.2549621 ],[0.16940802 0.2480509 ],[-1.51153964 -1.70252668  2.02464425  2.02464379],[ 1.35807883  1.69007577 -2.15190481 -2.15190485],[2.98872927 2.86841609],[ 0.4958932   0.85825098 -2.08566846 -1.54461639 -1.01184345],[ 0.77717716 -0.98445172  2.06899978  1.54461639  1.40236886],[0. 0.]
247,247,15,1829,"1,64986446953935E+018",ladle,[1.62290204 2.83772288 2.2528811  2.25288126],[1.65506597 2.81496688 2.39618544 2.39618541],[0.14750995 0.21749062],[-1.57888605 -1.23499974  2.59414084  2.59414119],[ 1.3961613   1.12853185 -2.89740313 -2.89740311],[3.07663991 2.78223853],[ 1.66964601  0.27368483 -1.04719755 -1.0564618  -1.54934732],[ 1.63839224 -0.25237821  1.07582432  1.05972957  1.55724285],[ 0.06528566 -0.02637173]
248,248,15,2077,"1,6498644701356E+018",shallow_plate,[1.58072839 2.52374751 0.89551859 0.89551809],[1.59979982 2.63008363 0.74783084 0.7478314 ],[0.18483185 0.20295629],[-1.6272768  -1.3399761   2.60923914  2.60923811],[ 1.38565408  1.48760209 -2.70603027 -2.70603086],[2.90252963 2.88713246],[ 1.38488941  0.54001754 -1.66061714 -1.54461639 -1.28818724],[ 1.70089978 -0.52144254  1.64881016  1.54235409  1.45095678],[0.04792245 0.        ]
249,249,15,2386,"1,64986447100146E+018",dinner_plate,[1.64016365 2.74284336 0.85899407 0.85899338],[1.64796117 2.79051506 0.85795725 0.85795759],[0.18899756 0.14376815],[-1.68798052 -1.26885338  2.35660199  2.35660129],[ 1.4448073   1.60954163 -2.39417246 -2.39417326],[3.0096796  2.46602881],[ 1.48352986  0.32831718 -1.04719755 -1.54461639 -1.57079633],[ 1.73909884 -0.19501424  0.97859036  1.54461639  1.10476784],[ 0.06528566 -0.0283478 ]
250,250,15,2569,"1,64986447147538E+018",knife,,,,,,,,,
251,251,15,2859,"1,64986447217047E+018",fork,[1.52016985 2.58032975 0.52346328 0.52346269],[1.58755764 2.59445389 0.46249196 0.4624923 ],[0.17652817 0.17558885],[-1.58461771 -1.93877617  2.41078824  2.4107869 ],[ 1.46243191  1.91969733 -2.51720945 -2.51720971],[2.9117491  2.55787227],[ 0.79454036  0.20539439 -1.3723879  -1.54461639 -1.57079633],[ 0.79801301 -0.2195988   1.32585451  1.54461639  1.57079633],[0.05486773 0.        ]
252,252,15,3190,"1,64986447305567E+018",salt_shaker_left,,,,,,,,,
253,253,15,3218,"1,64986447312711E+018",salt_shaker_right,,,,,,,,,
254,254,15,3391,"1,6498644735693E+018",sugar_bowl,,,,,,,,,
255,255,15,3653,"1,64986447428383E+018",mixer,,,,,,,,,
256,256,15,3920,"1,64986447506412E+018",pressure_cooker,,,,,,,,,
