,Unnamed: 0,participant_id,frame_id,timestamp,action,left_arm_human_theta,right_arm_human_theta,head_human_theta,left_arm_human_phi,right_arm_human_phi,head_human_phi,left_arm_robot,right_arm_robot,head_robot
43,43,19,1159,"1,64986457322146E+018",shallow_plate,[1.63047008 1.7100644  1.51564415 1.51564424],[1.7003956  1.92687812 1.24413459 1.24413502],[0.20119887 0.21458524],[-1.65778649 -2.14210753  2.10368073  2.10368082],[ 1.56043942  2.30638641 -2.21039725 -2.21039716],[3.03145061 0.52760433],[ 0.29795264  0.52499364 -0.76467565 -1.33422226 -1.39447332],[ 0.15904698 -0.61431754  0.22155452  1.34251737  1.25964184],[0.07223094 0.        ]
44,44,19,2896,"1,64986457906942E+018",dinner_plate,[1.54921904 2.40019335 0.75090027 0.75090045],[1.57434178 2.43453592 0.66293151 0.66293156],[0.03453498 0.29491439],[-1.55415487 -2.14419507  2.38309389  2.38309388],[ 1.48530537  2.45211379 -2.70707753 -2.7070777 ],[3.06840477 0.03486688],[ 0.99942621  0.16988336 -1.58074639 -1.54461639 -1.57079633],[ 1.06887904 -0.42583593  1.51684979  1.46191667  1.71819034],[-0.02153038  0.        ]
45,45,19,1204,"1,64986457337946E+018",salt_shaker_left,,,,,,,,,
46,46,19,1220,"1,64986457342072E+018",salt_shaker_right,,,,,,,,,
47,47,19,1524,"1,6498645746275E+018",sugar_bowl,,,,,,,,,
48,48,19,1615,"1,64986457491878E+018",mixer,,,,,,,,,
49,49,19,1772,"1,64986457550563E+018",pressure_cooker,,,,,,,,,
50,50,12,1160,"1,64986444708299E+018",teacup,[1.66790372 2.93585399 2.84226223 2.84226126],[1.59576545 2.59419888 2.57322454 2.57322518],[0.28017004 0.27945809],[-1.70360559 -1.0446902   3.02114675  3.02114666],[ 1.46685794  1.43135334 -2.54040505 -2.54040418],[ 3.06986078 -3.13852877],[ 1.60713846  0.34906585 -0.55631716 -1.09165317 -0.5836624 ],[1.72173563 0.07814751 0.87441112 0.2377597  1.26571533],[0. 0.]
51,51,12,1394,"1,64986444713163E+018",teapot,[1.48904213 1.30493295 0.87957692 0.87957671],[1.67009631 2.68062451 2.50442811 2.50442896],[0.24027105 0.18664765],[-1.50153757 -1.32093433 -1.81843138 -1.81843143],[ 1.4819264   0.88353629 -2.94942088 -2.94942064],[2.90563188 2.64651996],[ 1.5932479   0.32831718 -0.52853603 -0.78749918 -1.15457046],[-1.3962634  -0.87266463 -0.6014615   0.34906585  1.76374152],[-0.01458509  0.01018545]
52,52,12,1583,"1,6498644471703E+018",spoon,[1.56786022 1.55120974 0.53969939 0.53969943],[1.63834255 1.73086791 0.45477562 0.45477569],[0.17867182 0.20400066],[-1.57374261 -1.52146586  1.7258366   1.72583493],[ 1.45230705  1.71464573 -1.6292979  -1.62929596],[2.93051082 3.04006256],[-1.42100488  1.19014252  0.0270866  -1.54461639 -1.40965705],[-1.36891526 -1.17976237  0.02361396  1.41164328  1.5876103 ],[-0.02153038 -0.01056322]
