participant_id,frame_id,timestamp,action,left_arm_human_theta,right_arm_human_theta,head_human_theta,left_arm_human_phi,right_arm_human_phi,head_human_phi,left_arm_robot,right_arm_robot,head_robot
17,1488,"1,64986451517963E+018",ladle,[1.58547089 2.31831358 1.31539021 1.31539025],[1.62471461 2.49091978 1.22179158 1.22179159],[0.11364762 0.20618511],[-1.63352739 -2.73150089  2.23667364  2.23667385],[ 1.5644313   2.5676162  -2.54539757 -2.54539785],[3.11115139 2.83730501],"[ 1.43989663  0.78539816  2.52540948  1.24387401  0.49064501  1.1601819
 -2.7925268 ]","[-1.43989663  0.78539816 -2.68965525  1.22173048 -0.38812217  0.93525935
  1.60570291]","[0, 0]"
17,1973,"1,64986451528461E+018",shallow_plate,[1.56513585 1.9334086  0.87498368 0.87498322],[1.62946535 2.08779966 0.924329   0.92432835],[0.08902123 0.21692771],[-1.61481112 -2.39918115  2.98245071  2.98245063],[1.49931269 2.40680983 2.93440187 2.93440145],[2.75927988 0.56662698],"[1.43989663 0.78539816 2.90725474 1.22173048 1.36418143 1.21248947
 1.60570291]","[-1.43989663  0.78539816 -2.90934704  1.27525856 -1.40288903  1.22295099
  1.60570291]","[0, 0]"
17,2132,"1,64986451531823E+018",knife,[1.67984061 2.97676941 2.72955462 2.72955385],[1.54961648 2.12603041 0.70000326 0.70000352],[0.21016367 0.21718221],[-1.58394753 -1.35699953  3.09233465  3.09233481],[ 1.64349686  2.41388463 -2.02552379 -2.0255251 ],[-3.07918763  2.07042303],"[1.43989663 0.78539816 2.9491008  1.22173048 1.04719755 1.3066431
 0.99483767]","[-1.43989663  0.78539816 -1.57079633  1.45833505 -1.43427357  1.05556676
  0.82030475]","[0, 0]"
17,2357,"1,64986451536748E+018",fork,[1.59040297 2.39567358 0.75548422 0.75548321],[1.65972607 2.52918006 0.60587885 0.60588019],[0.19511252 0.09609542],[-1.54003181 -1.96450864  2.59045141  2.59044987],[ 1.44183415  2.26200553 -2.60638648 -2.60638824],[2.86793003 2.46819123],"[1.43989663 0.78539816 2.61799388 1.35895067 1.49495035 1.8663341
 0.99483767]","[-1.43989663  0.78539816 -2.59550162  1.32233537 -1.51796568  1.8663341
  1.55334303]","[0, 0]"
17,2567,"1,64986451541205E+018",salt_shaker_left,[1.62234552 2.32200364 1.76097855 1.76097853],[1.68933685 2.90430015 2.79495666 2.79495747],[0.18564993 0.17303603],[-1.7737251  -2.54179284 -3.12693496 -3.12693484],[1.38845299 1.36838878 2.79256301 2.7925615 ],[-3.06490316  1.97563579],"[1.43989663 0.78539816 1.32233537 1.39033521 1.55771943 0.54818333
 2.58308729]","[-1.43989663  0.78539816 -2.88319326  1.52110414 -1.04719755  0.52359878
 -0.97738438]","[0, 0]"
17,2579,"1,64986451541454E+018",salt_shaker_right,[1.62162701 2.7501129  2.83829224 2.83829247],[1.67444749 2.13321334 1.38873544 1.3887355 ],[0.18308317 0.15855641],[-1.45910987 -0.67588719 -2.16222042 -2.16221817],[1.71750041 2.90484302 3.1287289  3.12872883],[ 2.97080178 -2.82210761],"[1.43989663 0.78539816 3.03802367 1.22173048 1.04719755 0.84110573
 2.51327412]","[-1.43989663  0.73125983 -1.36627373  1.2700278  -1.69058066  0.86725951
 -3.12413936]","[0, 0]"
17,2847,"1,64986451547141E+018",sugar_bowl,[1.54379901 2.4996902  1.2872767  1.28727661],[1.61511345 2.42193149 1.13373582 1.13373534],[0.11805499 0.19172762],[-1.61125792 -2.54979109  2.21818869  2.21818778],[ 1.52644415  2.68654067 -2.35882506 -2.35882414],[3.09924843 2.61928477],"[ 1.43989663  0.78539816  2.61799388  1.22173048  0.44879895  1.3432584
 -2.91469985]","[-1.43989663  0.78539816 -2.61799388  1.22173048 -0.70719835  1.3798737
  0.20943951]","[0, 0]"
17,3013,"1,64986451550675E+018",mixer,[1.5398404  1.88988283 0.40178756 0.4017877 ],[1.61512036 1.95353494 0.41005289 0.41005289],[0.08085606 0.11276961],[-1.62258401 -2.55572291  1.70962466  1.70962661],[ 1.45080065  2.46095842 -2.8592842  -2.85928352],[-2.93557883  1.69897811],"[ 1.43989663  0.78539816  2.99094685  1.22173048  1.07125903  1.55248868
 -0.36651914]","[-1.43989663  0.78539816 -3.14159265  1.04510525 -1.04719755  1.89248788
 -1.23918377]","[0, 0]"
17,3157,"1,64986451553898E+018",pressure_cooker,[1.56707367 1.83318018 1.27725203 1.27725163],[1.5995954  1.90507159 1.21615514 1.21615506],[0.19014293 0.09824843],[-1.64928745 -2.69775043 -3.10240736 -3.10240716],[1.43300184 2.56343103 2.82445616 2.8244562 ],[3.06906763 2.07792862],"[1.43989663 0.78539816 3.04848518 1.22173048 1.32233537 0.81495194
 1.97222205]","[-1.43989663  0.78539816 -3.13950035  1.22173048 -1.34011994  0.61095242
 -0.66322512]","[0, 0]"
19,371,"1,64986457054477E+018",teacup,[1.57475985 2.84552246 2.95872399 2.95872354],[1.64464667 2.66959831 2.51599254 2.51599206],[0.2727351  0.08705469],[-1.59026174 -0.81207339 -2.03176074 -2.03176413],[ 1.5089892   1.19335762 -2.31978544 -2.31978665],[ 2.85350617 -3.12770493],"[1.43989663 0.78539816 2.03894908 0.8934133  0.72079831 1.8297188
 0.41887902]","[-1.43989663  0.78539816 -1.54935022  1.29095083 -1.55458098  0.52359878
 -1.85004901]","[0, 0]"
19,540,"1,64986457122584E+018",teapot,[1.47594687 1.43519635 0.96539636 0.96539601],[1.66167697 2.71090389 2.37164446 2.37164434],[0.20402669 0.12170753],[-1.52080672 -1.7270771  -1.78633003 -1.78633006],[ 1.50802088  1.1499003  -2.45134717 -2.45134722],[2.8011207  0.80915234],"[ 1.43989663  0.78539816  1.7198729   1.29618158  0.45402971  1.41125824
 -1.91986218]","[-1.43989663  0.78539816  1.57079633  0.47495274  0.76787513 -0.11612281
 -2.96705973]","[0, 0]"
19,751,"1,64986457193865E+018",spoon,[1.51549431 1.46163589 0.70848311 0.70848327],[1.61709911 1.57354695 0.55077789 0.55077768],[0.13772334 0.08753631],[-1.60327245 -1.64738613  1.66423427  1.66423278],[ 1.49316427  1.86559862 -1.59802648 -1.598028  ],[ 2.79585505 -3.00183444],"[ 1.43989663  0.78539816 -1.59642704  2.19064103 -0.02719994  0.09310747
 -1.6231562 ]","[-1.43989663  0.78539816  1.57079633  2.01279529  0.19772261  0.08787672
 -0.34906585]","[0, 0]"
19,1094,"1,64986457300944E+018",ladle,[1.5943053  2.6731529  1.67311958 1.67311953],[1.68630124 2.68990621 1.63489798 1.63489801],[0.13882051 0.09129153],[-1.60065032 -2.20439966  2.48763013  2.48763013],[ 1.54685598  2.35301094 -2.67350446 -2.67350465],[2.93188878 1.25464737],"[1.43989663 0.78539816 2.19587179 1.20725872 0.20818413 1.28048931
 0.90757121]","[-1.43989663  0.78539816 -2.21888712  1.17064342 -0.01673842  1.28048931
 -0.08726646]","[0, 0]"
19,1107,"1,6498645730406E+018",initial,[1.62639572 2.91888579 2.9486538  2.94865398],[1.68962228 2.88288392 2.74340738 2.74340648],[0.25099061 0.18964872],[-1.66896177 -1.18681732 -1.81734659 -1.81734749],[ 1.58578761  1.25083099 -2.86078558 -2.86078617],[3.01626572 2.67146614],"[1.43989663 0.78539816 1.51587338 1.44787354 1.2700278  0.86202875
 1.22173048]","[-1.43989663  0.7835674  -1.62781158  1.13402812 -0.75950592  0.06172293
 -2.51327412]","[0, 0]"
19,1159,"1,64986457322146E+018",shallow_plate,[1.63047008 1.7100644  1.51564415 1.51564424],[1.7003956  1.92687812 1.24413459 1.24413502],[0.20119887 0.21458524],[-1.65778649 -2.14210753  2.10368073  2.10368082],[ 1.56043942  2.30638641 -2.21039725 -2.21039716],[3.03145061 0.52760433],"[ 1.43989663  0.78539816  2.61799388  0.53772182  0.72602907  2.12264119
 -2.32128791]","[-1.43989663  0.78539816 -2.61799388  0.43310668 -1.04719755  2.21156406
 -2.53072742]","[0, 0]"
19,2896,"1,64986457906942E+018",dinner_plate,[1.54921904 2.40019335 0.75090027 0.75090045],[1.57434178 2.43453592 0.66293151 0.66293156],[0.03453498 0.29491439],[-1.55415487 -2.14419507  2.38309389  2.38309388],[ 1.48530537  2.45211379 -2.70707753 -2.7070777 ],[3.06840477 0.03486688],"[ 1.43989663  0.78539816  2.62479386  1.39033521  1.43741202  1.67279609
 -2.16420827]","[-1.43989663  0.78539816 -2.61799388  1.07125903 -1.37673524  1.66756533
 -2.77507351]","[0, 0]"
19,1204,"1,64986457337946E+018",salt_shaker_left,[1.57970195 2.60167874 1.87666201 1.87666202],[1.62128847 2.53656152 2.75610441 2.75610282],[0.24102489 0.09611169],[-1.65100578 -2.54547109  3.08451172  3.08451167],[1.43754978 0.30554783 0.60598691 0.60598434],[3.01991202 2.01792958],"[1.43989663 0.78539816 1.10264358 1.22173048 1.55771943 0.63187545
 2.26892803]","[-1.43989663  0.78539816 -2.70011676  1.22173048 -0.48750655  0.52359878
  2.0943951 ]","[0, 0]"
