s,participant_id,frame_id,timestamp,action,left_arm_human_theta,right_arm_human_theta,head_human_theta,left_arm_human_phi,right_arm_human_phi,head_human_phi,left_arm_robot,right_arm_robot,head_robot
494,9,1822,"1,64986440678045E+018",ladle,,,,,,,,,
653,9,2027,"1,64986440682338E+018",shallow_plate,,,,,,,,,
694,9,2299,"1,64986440688064E+018",dinner_plate,,,,,,,,,
779,9,2501,"1,64986440692349E+018",knife,,,,,,,,,
898,9,2738,"1,64986440697431E+018",initial,,,,,,,,,
921,9,2761,"1,64986440697923E+018",fork,,,,,,,,,
970,9,3008,"1,64986440703183E+018",salt_shaker_left,,,,,,,,,
1002,9,3040,"1,6498644070386E+018",salt_shaker_right,,,,,,,,,
1168,9,3302,"1,64986440709435E+018",sugar_bowl,,,,,,,,,
1325,9,3786,"1,64986440719859E+018",pressure_cooker,,,,,,,,,
20,5,1294,"1,64986432857633E+018",teacup,,,,,,,,,
276,5,1599,"1,64986432864126E+018",teapot,,,,,,,,,
364,5,1828,"1,64986432868971E+018",spoon,,,,,,,,,
647,5,2165,"1,64986432876199E+018",ladle,,,,,,,,,
832,5,2390,"1,64986432881035E+018",shallow_plate,,,,,,,,,
906,5,2676,"1,64986432887087E+018",dinner_plate,,,,,,,,,
1000,5,2914,"1,64986432892202E+018",knife,,,,,,,,,
1143,5,3197,"1,64986432898265E+018",fork,,,,,,,,,
1166,5,3439,"1,64986432903398E+018",initial,,,,,,,,,
1190,5,3463,"1,64986432903907E+018",salt_shaker_left,,,,,,,,,
1209,5,3482,"1,64986432904318E+018",salt_shaker_right,,,,,,,,,
1339,5,3747,"1,64986432909942E+018",sugar_bowl,,,,,,,,,
1487,5,4008,"1,6498643291552E+018",mixer,,,,,,,,,
1624,5,4252,"1,64986432920754E+018",pressure_cooker,,,,,,,,,
0,1,1143,"1,64986428269628E+018",initial,,,,,,,,,
29,1,1172,"1,64986428276483E+018",teacup,,,,,,,,,
242,1,1437,"1,64986428342957E+018",teapot,,,,,,,,,
325,1,1641,"1,64986428396101E+018",spoon,,,,,,,,,
635,1,1979,"1,64986428491643E+018",ladle,,,,,,,,,
814,1,2182,"1,6498642854803E+018",shallow_plate,,,,,,,,,
875,1,2472,"1,6498642861789E+018",dinner_plate,,,,,,,,,
932,1,2675,"1,64986428663898E+018",knife,,,,,,,,,
1072,1,2987,"1,64986428742346E+018",fork,,,,,,,,,
1134,1,3243,"1,64986428800188E+018",salt_shaker_left,,,,,,,,,
1148,1,3257,"1,64986428803155E+018",salt_shaker_right,,,,,,,,,
1262,1,3494,"1,64986428857099E+018",sugar_bowl,,,,,,,,,
1391,1,3710,"1,64986428911659E+018",mixer,,,,,,,,,
1542,1,3987,"1,64986428999468E+018",pressure_cooker,,,,,,,,,
0,8,1251,"1,64986439626172E+018",initial,,,,,,,,,
127,8,1451,"1,64986439629636E+018",teacup,,,,,,,,,
201,8,1616,"1,6498643963262E+018",teapot,,,,,,,,,
255,8,1848,"1,64986439636616E+018",spoon,,,,,,,,,
537,8,2174,"1,64986439642329E+018",ladle,,,,,,,,,
733,8,2746,"1,64986439654189E+018",dinner_plate,,,,,,,,,
773,8,2952,"1,64986439670439E+018",knife,,,,,,,,,
868,8,3233,"1,64986439675466E+018",fork,,,,,,,,,
896,8,3261,"1,6498643967595E+018",shallow_plate,,,,,,,,,
926,8,3491,"1,6498643967996E+018",salt_shaker_left,,,,,,,,,
942,8,3507,"1,64986439680235E+018",salt_shaker_right,,,,,,,,,
1118,8,3799,"1,6498643968545E+018",sugar_bowl,,,,,,,,,
1234,8,4075,"1,6498643970121E+018",mixer,,,,,,,,,
1355,8,4368,"1,64986439720238E+018",pressure_cooker,,,,,,,,,
78,3,1300,"1,64986432587914E+018",teacup,,,,,,,,,
139,3,1366,"1,64986432589354E+018",teapot,,,,,,,,,
156,3,1527,"1,64986432592866E+018",spoon,,,,,,,,,
211,3,1880,"1,64986432600555E+018",ladle,,,,,,,,,
345,3,2072,"1,6498643260473E+018",shallow_plate,,,,,,,,,
390,3,2426,"1,64986432612509E+018",dinner_plate,,,,,,,,,
424,3,2667,"1,64986432617704E+018",knife,,,,,,,,,
503,3,2903,"1,64986432622793E+018",fork,,,,,,,,,
552,3,3109,"1,64986432627307E+018",salt_shaker_right,,,,,,,,,
565,3,3122,"1,64986432627594E+018",salt_shaker_left,,,,,,,,,
686,3,3397,"1,64986432633577E+018",sugar_bowl,,,,,,,,,
768,3,3648,"1,64986432639006E+018",mixer,,,,,,,,,
14,15,1018,"1,64986446743165E+018",teacup,,,,,,,,,
275,15,1324,"1,64986446826837E+018",teapot,,,,,,,,,
315,15,1506,"1,64986446869508E+018",initial,,,,,,,,,
337,15,1528,"1,6498644687365E+018",spoon,,,,,,,,,
582,15,1829,"1,64986446953935E+018",ladle,,,,,,,,,
802,15,2077,"1,6498644701356E+018",shallow_plate,,,,,,,,,
852,15,2386,"1,64986447100146E+018",dinner_plate,,,,,,,,,
926,15,2569,"1,64986447147538E+018",knife,,,,,,,,,
1096,15,2859,"1,64986447217047E+018",fork,,,,,,,,,
1218,15,3190,"1,64986447305567E+018",salt_shaker_left,,,,,,,,,
1246,15,3218,"1,64986447312711E+018",salt_shaker_right,,,,,,,,,
1291,15,3391,"1,6498644735693E+018",sugar_bowl,,,,,,,,,
1457,15,3653,"1,64986447428383E+018",mixer,,,,,,,,,
1575,15,3920,"1,64986447506412E+018",pressure_cooker,,,,,,,,,
